qid,agent,answer,target_repr,sampling_strategy,n_similar_examples,cover_operators,prompt_version
041499,orca3B_raw,"scene(0).
select(1, 0, color).
unique(2, 1).
filter_any(3, 2, short).
exist(4, 3).
and(5, 2, 4).
end(5).",asp_flat,random,1,True,v1
041499,orca3B,,asp_flat,random,1,True,v1
142457,question,"On which side is the shelf, the right or the left?",-,-,-,-,-
142457,answer,left,-,-,-,-,-
142457,asp,left,-,-,-,-,-
142457,asp_question,"scene(0).
select(1, 0, shelf).
unique(2, 1).
choose_attr(3, 2, hposition, left, right).
end(3).",-,-,-,-,-
142457,gqa_question,"[{'operation': 'select', 'dependencies': [], 'argument': 'shelf (3135456)'}, {'operation': 'choose hposition', 'dependencies': [0], 'argument': 'left|right'}]",-,-,-,-,-
142457,gqa,left,-,-,-,-,-
142457,orca3B_raw,"scene(0).
select(1, 0, shelf).
unique(2, 1).
choose_attr(3, 2, hposition, left, right).
exist(3, 4).
filter_any(4, 1, to_the_left_of, subject).
end(4).",asp_flat,random,1,True,v1
142457,orca3B,,asp_flat,random,1,True,v1
142471,question,Is the girl's hair brown or blond?,-,-,-,-,-
142471,answer,brown,-,-,-,-,-
142471,asp,error,-,-,-,-,-
142471,asp_question,"scene(0).
select(1, 0, girl).
relate(2, 1, hair, of, subject).
unique(3, 2).
choose_attr(4, 3, color, brown, blond).
end(4).",-,-,-,-,-
142471,gqa_question,"[{'operation': 'select', 'dependencies': [], 'argument': 'girl (2811338)'}, {'operation': 'relate', 'dependencies': [0], 'argument': 'hair,of,s (3086029)'}, {'operation': 'choose color', 'dependencies': [1], 'argument': 'brown|blond'}]",-,-,-,-,-
142471,gqa,<class 'semantic_interpreter.known_exceptions.MissingEdgeException'>,-,-,-,-,-
142471,orca3B_raw,"scene(0).
select(1, 0, hair).
relate(2, 1, girl, to_the_right_of, subject).
unique(3, 2).
query(4, 3, color).
end(4).",asp_flat,random,1,True,v1
142471,orca3B,,asp_flat,random,1,True,v1
142512,question,Are there black bikes or skateboards?,-,-,-,-,-
142512,answer,no,-,-,-,-,-
142512,asp,no,-,-,-,-,-
142512,asp_question,"scene(0).
select(1, 0, bike).
filter(2, 1, color, black).
exist(3, 2).
scene(4).
select(5, 4, skateboard).
filter(6, 5, color, black).
exist(7, 6).
or(8, 3, 7).
end(8).",-,-,-,-,-
142512,gqa_question,"[{'operation': 'select', 'dependencies': [], 'argument': 'bike (2785049)'}, {'operation': 'filter color', 'dependencies': [0], 'argument': 'black'}, {'operation': 'exist', 'dependencies': [1], 'argument': '?'}, {'operation': 'select', 'dependencies': [], 'argument': 'skateboard (-) '}, {'operation': 'filter color', 'dependencies': [3], 'argument': 'black'}, {'operation': 'exist', 'dependencies': [4], 'argument': '?'}, {'operation': 'or', 'dependencies': [2, 5], 'argument': ''}]",-,-,-,-,-
142512,gqa,no,-,-,-,-,-
142512,orca3B_raw,"scene(0).
select(1, 0, bike).
relate(2, 1, color, black).
unique(3, 2).
query(4, 3, name).
exist(5, 1).
end(5).",asp_flat,random,1,True,v1
142512,orca3B,,asp_flat,random,1,True,v1
122286,question,Is the man in the train car reading a newspaper?,-,-,-,-,-
122286,answer,no,-,-,-,-,-
122286,asp,no,-,-,-,-,-
122286,asp_question,"scene(0).
select(1, 0, train_car).
relate(2, 1, man, in, subject).
unique(3, 2).
verify_rel(4, 3, newspaper, reading, object).
end(4).",-,-,-,-,-
122286,gqa_question,"[{'operation': 'select', 'dependencies': [], 'argument': 'train car (227261)'}, {'operation': 'relate', 'dependencies': [0], 'argument': 'man,in,s (227256)'}, {'operation': 'verify rel', 'dependencies': [1], 'argument': 'newspaper,reading,o (-)'}]",-,-,-,-,-
122286,gqa,no,-,-,-,-,-
122286,orca3B_raw,"scene(0).
select(1, 0, train_car).
relate(2, 1, person, reading, object).
unique(3, 2).
query(4, 3, name).
end(4).",asp_flat,random,1,True,v1
122286,orca3B,,asp_flat,random,1,True,v1
122371,question,Which side of the photo is the lock on?,-,-,-,-,-
122371,answer,left,-,-,-,-,-
122371,asp,left,-,-,-,-,-
122371,asp_question,"scene(0).
select(1, 0, lock).
unique(2, 1).
query(3, 2, hposition).
end(3).",-,-,-,-,-
122371,gqa_question,"[{'operation': 'select', 'dependencies': [], 'argument': 'lock (227267)'}, {'operation': 'query', 'dependencies': [0], 'argument': 'hposition'}]",-,-,-,-,-
122371,gqa,left,-,-,-,-,-
122371,orca3B_raw,"scene(0).
select(1, 0, photo).
filter_any(2, 1, lock).
unique(3, 2).
verify_rel(4, 3, side, left, right).
end(4).",asp_flat,random,1,True,v1
122371,orca3B,,asp_flat,random,1,True,v1
122376,question,Are there any girls to the left of the person that is wearing a shirt?,-,-,-,-,-
122376,answer,no,-,-,-,-,-
122376,asp,no,-,-,-,-,-
122376,asp_question,"scene(0).
select(1, 0, shirt).
relate(2, 1, person, wearing, subject).
relate(3, 2, girl, to_the_left_of, subject).
exist(4, 3).
end(4).",-,-,-,-,-
122376,gqa_question,"[{'operation': 'select', 'dependencies': [], 'argument': 'shirt (227262)'}, {'operation': 'relate', 'dependencies': [0], 'argument': 'person,wearing,s (227256)'}, {'operation': 'relate', 'dependencies': [1], 'argument': 'girl,to the left of,s (-)'}, {'operation': 'exist', 'dependencies': [2], 'argument': '?'}]",-,-,-,-,-
122376,gqa,<class 'semantic_interpreter.known_exceptions.MissingEdgeException'>,-,-,-,-,-
122376,orca3B_raw,"scene(0).
select(1, 0, girl).
relate(2, 1, person, to_the_left_of, wearing, shirt).
unique(3, 2).
verify_rel(4, 3, girl, is, a, member, of, the, set, of, objects,",asp_flat,random,1,True,v1
122376,orca3B,error,asp_flat,random,1,True,v1
122496,question,What is the name of this vehicle?,-,-,-,-,-
122496,answer,train car,-,-,-,-,-
122496,asp,train_car,-,-,-,-,-
122496,asp_question,"scene(0).
select(1, 0, vehicle).
unique(2, 1).
query(3, 2, name).
end(3).",-,-,-,-,-
122496,gqa_question,"[{'operation': 'select', 'dependencies': [], 'argument': 'vehicle (227261)'}, {'operation': 'query', 'dependencies': [0], 'argument': 'name'}]",-,-,-,-,-
122496,gqa,<class 'semantic_interpreter.known_exceptions.EmptyQueryException'>,-,-,-,-,-
122496,orca3B_raw,"scene(0).
select(1, 0, vehicle).
relate_attr(2, 1, hposition, front).
unique(3, 2).
query(4, 3, name).
end(4).",asp_flat,random,1,True,v1
122496,orca3B,,asp_flat,random,1,True,v1
122495,question,What vehicle is it?,-,-,-,-,-
122495,answer,train car,-,-,-,-,-
122495,asp,train_car,-,-,-,-,-
122495,asp_question,"scene(0).
select(1, 0, vehicle).
unique(2, 1).
query(3, 2, name).
end(3).",-,-,-,-,-
122495,gqa_question,"[{'operation': 'select', 'dependencies': [], 'argument': 'vehicle (227261)'}, {'operation': 'query', 'dependencies': [0], 'argument': 'name'}]",-,-,-,-,-
122495,gqa,<class 'semantic_interpreter.known_exceptions.EmptyQueryException'>,-,-,-,-,-
122495,orca3B_raw,"scene(0).
select(1, 0, car).
relate(2, 1, type, to_the_left_of, object).
unique(3, 2).
query(4, 3, brand).
end(4).",asp_flat,random,1,True,v1
122495,orca3B,,asp_flat,random,1,True,v1
122312,question,What is the man in the train car holding?,-,-,-,-,-
122312,answer,book,-,-,-,-,-
122312,asp,book,-,-,-,-,-
122312,asp_question,"scene(0).
select(1, 0, train_car).
relate(2, 1, man, in, subject).
relate_any(3, 2, holding, object).
unique(4, 3).
query(5, 4, name).
end(5).",-,-,-,-,-
122312,gqa_question,"[{'operation': 'select', 'dependencies': [], 'argument': 'train car (227261)'}, {'operation': 'relate', 'dependencies': [0], 'argument': 'man,in,s (227256)'}, {'operation': 'relate', 'dependencies': [1], 'argument': '_,holding,o (227257)'}, {'operation': 'query', 'dependencies': [2], 'argument': 'name'}]",-,-,-,-,-
122312,gqa,book,-,-,-,-,-
122312,orca3B_raw,"scene(0).
select(1, 0, frisbee).
relate(2, 1, man, in_the, train_car, subject).
unique(3, 2).
query(4, 3, name).
end(4).",asp_flat,random,1,True,v1
122312,orca3B,,asp_flat,random,1,True,v1
041477,zephyr7B_raw,"scene(0).
select(1, 0, shorts).
relate(2, 1, person, wearing, subject).
unique(3, 2).
query(4, 3, name).
end(4).
",asp_flat,random,1,True,v1
041477,zephyr7B,man,asp_flat,random,1,True,v1
041438,zephyr7B_raw,"scene(0).
select(1, 0, logo).
scene(2).
select(3, 2, roof).
unique(4, 1).
unique(5, 3).
two_same(6, 4, 5, color).
negate(7, 6, 1).
end(end(7).
",asp_flat,random,1,True,v1
041438,zephyr7B,error,asp_flat,random,1,True,v1
041529,zephyr7B_raw,"scene(0).
select(1, 0, frisbee).
exist(2, 1).
scene(3).
select(4, 3, fence).
exist(5, 4).
and(6, 2, 5).
end(6).
",asp_flat,random,1,True,v1
041529,zephyr7B,no,asp_flat,random,1,True,v1
041480,zephyr7B_raw,"scene(0).
select(1, 0, frisbee).
relate(2, 1, man, to_the_right_of, subject).
unique(3, 2).
verify_rel(4, 3, glasses, wearing, object).
end(4).
",asp_flat,random,1,True,v1
041480,zephyr7B,no,asp_flat,random,1,True,v1
041544,zephyr7B_raw,"scene(0).
select(1, 0, frisbee).
query(2, 1, color).
end(2).
",asp_flat,random,1,True,v1
041544,zephyr7B,,asp_flat,random,1,True,v1
041499,zephyr7B_raw,"scene(0).
select(1, 0, shorts).
unique(2, 1).
choose_attr(3, 2, color).
end(3).
",asp_flat,random,1,True,v1
041499,zephyr7B,,asp_flat,random,1,True,v1
142457,zephyr7B_raw,"scene(0).
select(1, 0, shelf).
unique(2, 1).
choose_attr(3, 2, hposition, left, right).
end(3).
",asp_flat,random,1,True,v1
142457,zephyr7B,left,asp_flat,random,1,True,v1
142471,zephyr7B_raw,"scene(0).
select(1, 0, girl).
unique(2, 1).
choose_attr(3, 2, hair_color, brown, blond).
end(3).
",asp_flat,random,1,True,v1
142471,zephyr7B,blond,asp_flat,random,1,True,v1
142512,zephyr7B_raw,"scene(0).
select(1, 0, bike).
unique(2, 1).
choose_attr(3, 2, color, black).
scene(4).
select(5, 4, skateboard).
unique(6, 5).
choose_attr(7, 6, color,end(6).
",asp_flat,random,1,True,v1
142512,zephyr7B,error,asp_flat,random,1,True,v1
122286,zephyr7B_raw,"scene(0).
select(1, 0, man).
unique(2, 1).
select(3, 0, train_car).
unique(4, 3).
relate(5, 2, in, subject).
relate(6, 2, reading, object).
unique(7, 6end(6).
",asp_flat,random,1,True,v1
122286,zephyr7B,error,asp_flat,random,1,True,v1
122371,zephyr7B_raw,"scene(0).
select(1, 0, photo).
unique(2, 1).
choose_attr(3, 2, hposition, left, right).
choose_rel(4, 3, lock, on, side_of, subject).
end(4).
",asp_flat,random,1,True,v1
122371,zephyr7B,,asp_flat,random,1,True,v1
122376,zephyr7B_raw,"scene(0).
select(1, 0, person).
relate(2, 1, shirt, wearing, object).
unique(3, 2).
choose_rel(4, 3, girl, to_the_left_of, to_the_right_of, subject).
end(4).
",asp_flat,random,1,True,v1
122376,zephyr7B,,asp_flat,random,1,True,v1
122496,zephyr7B_raw,"scene(0).
select(1, 0, vehicle).
query(2, 1, name).
end(2).
",asp_flat,random,1,True,v1
122496,zephyr7B,train_car,asp_flat,random,1,True,v1
122495,zephyr7B_raw,"scene(0).
select(1, 0, vehicle).
query(2, 1, name).
end(2).
",asp_flat,random,1,True,v1
122495,zephyr7B,train_car,asp_flat,random,1,True,v1
122312,zephyr7B_raw,"scene(0).
select(1, 0, train_car).
unique(2, 1).
choose_rel(3, 2, man, in, subject).
unique(4, 3).
choose_attr(5, 4, holds, object).
end(5).
",asp_flat,random,1,True,v1
122312,zephyr7B,,asp_flat,random,1,True,v1
041477,zephyr7B_raw,"query(unique(relate(select(scene(), shorts), person, wearing, subject)), name)",asp_nested,random,1,True,v1
041477,zephyr7B,man,asp_nested,random,1,True,v1
041438,zephyr7B_raw,"choose_attr(unique(select(scene(), logo)), color)",asp_nested,random,1,True,v1
041438,zephyr7B,,asp_nested,random,1,True,v1
041529,zephyr7B_raw,"and(exist(select(scene(), frisbee)), exist(select(scene(), fence)))",asp_nested,random,1,True,v1
041529,zephyr7B,no,asp_nested,random,1,True,v1
041480,zephyr7B_raw,"choose_attr(unique(select(scene(), man)), glasses, true, false)",asp_nested,random,1,True,v1
041480,zephyr7B,false,asp_nested,random,1,True,v1
041544,zephyr7B_raw,"query(unique(relate(select(scene(), frisbee), color)), name)",asp_nested,random,1,True,v1
041544,zephyr7B,,asp_nested,random,1,True,v1
041499,zephyr7B_raw,"query(unique(relate(select(scene(), shorts), color, has, object)), name)",asp_nested,random,1,True,v1
041499,zephyr7B,,asp_nested,random,1,True,v1
142457,zephyr7B_raw,"choose_attr(unique(select(scene(), shelf)), hposition, left, right)",asp_nested,random,1,True,v1
142457,zephyr7B,left,asp_nested,random,1,True,v1
142471,zephyr7B_raw,"query(unique(relate(select(scene(), girl), hair, color, subject)), (brown ; blond))",asp_nested,random,1,True,v1
142471,zephyr7B,error,asp_nested,random,1,True,v1
142512,zephyr7B_raw,"or(exist(filter_any(select(scene(), bike), color, black)), exist(filter_any(select(scene(), skateboard), color, black)))",asp_nested,random,1,True,v1
142512,zephyr7B,no,asp_nested,random,1,True,v1
122286,zephyr7B_raw,"query(unique(relate(select(scene(), man), train_car, in, subject), reading, newspaper, object))",asp_nested,random,1,True,v1
122286,zephyr7B,,asp_nested,random,1,True,v1
122371,zephyr7B_raw,"choose_attr(unique(select(scene(), lock)), hposition, left, right)",asp_nested,random,1,True,v1
122371,zephyr7B,left,asp_nested,random,1,True,v1
122376,zephyr7B_raw,"query(unique(relate(unique(filter_any(select(scene(), person), wearing(shirt, subject))), person, to_the_left_of, object), girl, subject))",asp_nested,random,1,True,v1
122376,zephyr7B,,asp_nested,random,1,True,v1
122496,zephyr7B_raw,"query(unique(relate(select(scene(), vehicle), name, of, subject)), name)",asp_nested,random,1,True,v1
122496,zephyr7B,,asp_nested,random,1,True,v1
122495,zephyr7B_raw,"query(unique(relate(select(scene(), vehicle), subject)), name)",asp_nested,random,1,True,v1
122495,zephyr7B,,asp_nested,random,1,True,v1
122312,zephyr7B_raw,"query(unique(relate_any(select(scene(), man), in, train_car), hold, object))",asp_nested,random,1,True,v1
122312,zephyr7B,,asp_nested,random,1,True,v1
041477,zephyr7B_raw,"[{'operation':'select', 'dependencies': [], 'argument':'shorts (174676)'}, {'operation':'relate', 'dependencies': [0], 'argument': 'person,wearing,s (174657)'}, {'operation': 'query', 'dependencies': [1], 'argument': 'name'}]",gqa,random,1,True,v1
041477,zephyr7B,,gqa,random,1,True,v1
041438,zephyr7B_raw,"[{'operation':'select', 'dependencies': [], 'argument': 'logo (2237917)'}, {'operation':'select', 'dependencies': [], 'argument': 'roof (2493560) '}, {'operation': 'different color', 'dependencies': [0, 1], 'argument': ''}]",gqa,random,1,True,v1
041438,zephyr7B,,gqa,random,1,True,v1
041529,zephyr7B_raw,"[{'operation':'select', 'dependencies': [], 'argument': 'frisbee (1902903)'}, {'operation': 'exist', 'dependencies': [0], 'argument': '?'}, {'operation':'select', 'dependencies': [], 'argument': 'fence (-) '}, {'operation': 'exist', 'dependencies': [2], 'argument': '?'}, {'operation': 'and', 'dependencies': [1, 3], 'argument': ''}]",gqa,random,1,True,v1
041529,zephyr7B,,gqa,random,1,True,v1
041480,zephyr7B_raw,"[{'operation':'select', 'dependencies': [], 'argument': 'frisbee (1902903)'}, {'operation':'relate', 'dependencies': [0], 'argument':'man,to the right of,s (2449847)'}, {'operation':'verify rel', 'dependencies': [1], 'argument': 'glasses,wearing,o (-)'}]",gqa,random,1,True,v1
041480,zephyr7B,,gqa,random,1,True,v1
041544,zephyr7B_raw,"[{'operation':'select', 'dependencies': [], 'argument': 'frisbee (1902903)'}, {'operation': 'choose color', 'dependencies': [0], 'argument': ''}]",gqa,random,1,True,v1
041544,zephyr7B,,gqa,random,1,True,v1
041499,zephyr7B_raw,"[{'operation':'select', 'dependencies': [], 'argument':'shorts (174676)'}, {'operation': 'query', 'dependencies': [0], 'argument': 'color'}]",gqa,random,1,True,v1
041499,zephyr7B,,gqa,random,1,True,v1
142457,zephyr7B_raw,"[{'operation':'select', 'dependencies': [], 'argument':'shelf (123456)'}, {'operation':'relate', 'dependencies': [0], 'argument': 'room,with,s (123457)'}, {'operation': 'choose rel', 'dependencies': [1], 'argument': 'right,left,s (123458)'}, {'operation': 'query', 'dependencies': [2], 'argument':'side'}]",gqa,random,1,True,v1
142457,zephyr7B,,gqa,random,1,True,v1
142471,zephyr7B_raw,"[{'operation':'select', 'dependencies': [], 'argument': 'girl (123456)'}, {'operation':'select', 'dependencies': [], 'argument': 'hair (123457)'}, {'operation': 'choose color', 'dependencies': [1], 'argument': 'brown|blond'}]",gqa,random,1,True,v1
142471,zephyr7B,,gqa,random,1,True,v1
142512,zephyr7B_raw,"[{'operation':'select', 'dependencies': [], 'argument': 'bike (2785049)'}, {'operation': 'filter color', 'dependencies': [0], 'argument': 'black'}, {'operation': 'exist', 'dependencies': [1], 'argument': '?'}, {'operation':'select', 'dependencies': [], 'argument':'skateboard (-) '}, {'operation': 'filter color', 'dependencies': [3], 'argument': 'black'}, {'operation': 'exist', 'dependencies': [4], 'argument':",gqa,random,1,True,v1
142512,zephyr7B,,gqa,random,1,True,v1
122286,zephyr7B_raw,"[{'operation':'select', 'dependencies': [], 'argument': 'train car (123456)'}, {'operation':'relate', 'dependencies': [0], 'argument':'man,in,s (123457)'}, {'operation': 'query', 'dependencies': [1], 'argument': 'activity'}]",gqa,random,1,True,v1
122286,zephyr7B,,gqa,random,1,True,v1
122371,zephyr7B_raw,"[{'operation':'select', 'dependencies': [], 'argument': 'photo (123456)'}, {'operation': 'choose hposition', 'dependencies': [0], 'argument': 'left|right'}, {'operation':'relate', 'dependencies': [1], 'argument': 'lock,on,s (123457)'}, {'operation': 'query', 'dependencies': [2], 'argument':'side'}]",gqa,random,1,True,v1
122371,zephyr7B,,gqa,random,1,True,v1
122376,zephyr7B_raw,"[{'operation':'select', 'dependencies': [], 'argument':'shirt (174640)'}, {'operation':'relate', 'dependencies': [0], 'argument': 'person,wearing,s (174641)'}, {'operation':'relate', 'dependencies': [1], 'argument': 'girl,to the left of,s (174651)'}, {'operation': 'exist', 'dependencies': [2], 'argument': '?'}]",gqa,random,1,True,v1
122376,zephyr7B,,gqa,random,1,True,v1
122496,zephyr7B_raw,"[{'operation':'select', 'dependencies': [], 'argument': 'this vehicle (-) '}, {'operation': 'query', 'dependencies': [0], 'argument': 'name'}]",gqa,random,1,True,v1
122496,zephyr7B,,gqa,random,1,True,v1
122495,zephyr7B_raw,"[{'operation':'select', 'dependencies': [], 'argument':'vehicle (553039)'}, {'operation': 'query', 'dependencies': [0], 'argument': 'name'}]",gqa,random,1,True,v1
122495,zephyr7B,,gqa,random,1,True,v1
122312,zephyr7B_raw,"[{'operation':'select', 'dependencies': [], 'argument': 'train car (123456)'}, {'operation':'relate', 'dependencies': [0], 'argument':'man,in,s (123457)'}, {'operation': 'query', 'dependencies': [1], 'argument': 'holding'}]",gqa,random,1,True,v1
122312,zephyr7B,,gqa,random,1,True,v1
041477,zephyr7B_raw,"scene(0).
select(1, 0, person).
query(2, 1, wears, shorts).
end(2).
",asp_flat,random,1,False,v1
041477,zephyr7B,,asp_flat,random,1,False,v1
041438,zephyr7B_raw,"scene(0).
select(1, 0, logo).
select(2, 0, roof).
choose_attr(3, 1, color).
choose_attr(4, 2, color).
relate(5, 1, color, different, object).
relate(6, 5, end(5).
",asp_flat,random,1,False,v1
041438,zephyr7B,error,asp_flat,random,1,False,v1
041529,zephyr7B_raw,"scene(0).
select(1, 0, picture).
exist(2, 1, fence).
exist(3, 1, frisbee).
all_different(4, 2, 3).
query(5, 4, count).
query(6, 5, value).
query(7,end(6).
",asp_flat,random,1,False,v1
041529,zephyr7B,error,asp_flat,random,1,False,v1
041480,zephyr7B_raw,"scene(0).
select(1, 0, frisbee).
relate(2, 1, man, right_of, object).
query(3, 2, wears, glasses).
end(3).
",asp_flat,random,1,False,v1
041480,zephyr7B,,asp_flat,random,1,False,v1
041544,zephyr7B_raw,"scene(0).
select(1, 0, frisbee).
query(2, 1, color).
end(2).
",asp_flat,random,1,False,v1
041544,zephyr7B,,asp_flat,random,1,False,v1
041499,zephyr7B_raw,"scene(0).
select(1, 0, shorts).
choose_attr(2, 1, color).
query(3, 2).
end(3).
",asp_flat,random,1,False,v1
041499,zephyr7B,,asp_flat,random,1,False,v1
142457,zephyr7B_raw,"scene(0).
select(1, 0, shelf).
unique(2, 1).
unique(3, 1).
relate(4, 2, 3, side).
unique(5, 3).
query(6, 5, right).
or(7, 6, 8).
queryend(7).
",asp_flat,random,1,False,v1
142457,zephyr7B,,asp_flat,random,1,False,v1
142471,zephyr7B_raw,"scene(0).
select(1, 0, girl).
relate(2, 1, hair, of, object).
unique(3, 2).
query(4, 3, color).
choose_attr(5, 4, color).
choose_rel(6, 5, is, equal,end(5).
",asp_flat,random,1,False,v1
142471,zephyr7B,error,asp_flat,random,1,False,v1
142512,zephyr7B_raw,"scene(0).
select(1, 0, item).
filter_any(2, 1, color, black).
choose_attr(3, 2, name, bike, skateboard).
end(3).
",asp_flat,random,1,False,v1
142512,zephyr7B,,asp_flat,random,1,False,v1
122286,zephyr7B_raw,"scene(0).
select(1, 0, man).
select(2, 1, train_car).
select(3, 2, reading).
select(4, 3, newspaper).
relate(5, 1, in, 2).
query(6, 5).
end(6).
",asp_flat,random,1,False,v1
122286,zephyr7B,,asp_flat,random,1,False,v1
122371,zephyr7B_raw,"scene(0).
select(1, 0, photo).
relate(2, 1, has_lock, lock).
query(3, 2, side).
end(3).
",asp_flat,random,1,False,v1
122371,zephyr7B,,asp_flat,random,1,False,v1
122376,zephyr7B_raw,"scene(0).
select(1, 0, person).
filter(2, 1, hposition, left).
unique(3, 2).
select(4, 0, girl).
filter(5, 4, wears, shirt).
unique(6, 5).
relate(7, 3,end(6).
",asp_flat,random,1,False,v1
122376,zephyr7B,error,asp_flat,random,1,False,v1
122496,zephyr7B_raw,"scene(0).
select(1, 0, vehicle).
query(2, 1, name).
end(2).
",asp_flat,random,1,False,v1
122496,zephyr7B,train_car,asp_flat,random,1,False,v1
122495,zephyr7B_raw,"scene(0).
select(1, 0, vehicle).
relate(2, 1, name, is, object).
end(2).
",asp_flat,random,1,False,v1
122495,zephyr7B,,asp_flat,random,1,False,v1
122312,zephyr7B_raw,"scene(0).
select(1, 0, man).
select(2, 0, train_car).
relate(3, 1, in, 2).
select(4, 0, object).
relate(5, 1, holding, 4).
query(6, 4, name).
end(6).
",asp_flat,random,1,False,v1
122312,zephyr7B,book,asp_flat,random,1,False,v1
041477,zephyr7B_raw,"query(unique(filter(select(scene(), person), select(relate(person, wears, shorts), scene()), true)), name)",asp_nested,random,1,False,v1
041477,zephyr7B,,asp_nested,random,1,False,v1
